ds,yhat,yhat_lower,yhat_upper,Store
2013-01-02,6647.347654185338,4676.109588647817,8488.06573028065,111
2013-01-03,6744.345917399401,4978.796947899326,8718.794384529003,111
2013-01-04,7205.466614097337,5124.206768363752,9202.736648739201,111
2013-01-05,6526.968970353467,4667.962227880346,8400.081954086734,111
2013-01-07,7154.915822520925,5280.689338476349,8986.423256122815,111
2013-01-08,5805.459000494895,3837.582122229953,7757.13613747782,111
2013-01-09,5581.626070458313,3649.9446251540394,7541.585536649692,111
2013-01-10,5765.704445851152,3963.604961593171,7616.268556228668,111
2013-01-11,6322.7629220060535,4404.076961717213,8249.690730401247,111
2013-01-12,5746.914175288035,3818.9502636710004,7779.579321470737,111
2013-01-14,6591.520686060668,4650.024252508788,8494.521412662132,111
2013-01-15,5351.744881436418,3475.873295166697,7257.713221489876,111
2013-01-16,5235.738423730807,3168.898048290965,7288.255860313232,111
2013-01-17,5523.884816154912,3577.2946058641114,7494.813045361983,111
2013-01-18,6179.523944981815,4306.959920504164,7980.203696121266,111
2013-01-19,5695.245583164631,3729.9908825376656,7667.20970724769,111
2013-01-21,6697.0426422442415,4848.665533647958,8702.21112950818,111
2013-01-22,5521.061119951565,3601.880222531719,7481.680508289689,111
2013-01-23,5458.202780619859,3559.2369816872642,7275.259405864111,111
2013-01-24,5788.595877937745,3889.4787307451775,7740.547772953875,111
2013-01-25,6475.579158727398,4488.505187793507,8431.035277400717,111
2013-01-26,6011.980938046685,4014.872730745644,7988.461012654601,111
2013-01-28,7025.176304341259,5072.025548699177,8894.82889970512,111
2013-01-29,5841.389785069612,3860.851273679364,7804.3319011893,111
2013-01-30,5762.95775730481,3719.444310500701,7694.24802950582,111
2013-01-31,6071.0735702608235,4190.782109004011,8042.738668049364,111
2013-02-01,6730.213085166323,4894.256478755531,8549.530272042253,111
2013-02-02,6234.3807277126625,4210.189756415054,8028.980001910764,111
2013-02-04,7174.646036966724,5328.969938140549,9065.035587114324,111
2013-02-05,5952.432912982933,4084.9165240727457,7929.164010524058,111
2013-02-06,5835.670726054773,3759.753621153952,7828.698402230323,111
2013-02-07,6106.491731572508,4128.504238457496,7873.581584574157,111
2013-02-08,6730.198806903279,4839.124683846749,8626.735077225709,111
2013-02-09,6201.499459147473,4344.258145289492,8057.595402549281,111
2013-02-11,7085.878657301906,5251.598049222574,9174.70592811018,111
2013-02-12,5841.38646589291,3872.711535372704,7857.642973220405,111
2013-02-13,5706.396797774162,3778.4526719569403,7607.871227550708,111
2013-02-14,5963.096257238598,4067.966985771434,7929.1683984596175,111
2013-02-15,6576.73340028946,4765.03389800735,8596.363327882118,111
2013-02-16,6041.8666885373195,4098.247393308423,7981.907249378127,111
2013-02-18,6924.64476799376,5142.840858048138,8944.329887499216,111
2013-02-19,5684.094060239508,3701.5464289421675,7704.474489019807,111
2013-02-20,5555.733595251461,3626.30791600561,7370.540135281755,111
2013-02-21,5821.377030499861,3812.0489926999307,7858.441065834806,111
2013-02-22,6445.904298116411,4567.753606632887,8396.848779371554,111
2013-02-23,5923.522961620588,4084.5115781367463,7813.056965003099,111
2013-02-25,6834.807405299914,4915.6933993182165,8621.473928188552,111
2013-02-26,5609.752879965758,3637.9212321546183,7520.0401498282645,111
2013-02-27,5497.4436036388315,3591.037933244482,7334.265487594321,111
2013-02-28,5779.54737153315,3799.553974164133,7603.454334131256,111
2013-03-01,6420.843842184918,4515.610548604118,8285.623206122786,111
2013-03-02,5915.481481204067,4020.5872220959527,7869.177858701924,111
2013-03-04,6861.482110138127,4997.0785428263825,8727.599143220878,111
2013-03-05,5654.14616180042,3719.6530984637257,7619.651047622634,111
2013-03-06,5559.828387286133,3594.0935859023534,7434.194241306753,111
2013-03-07,5860.219283280864,3900.3111266642836,7640.220786523402,111
2013-03-08,6520.1075383108,4651.861598443667,8486.553080946273,111
2013-03-09,6033.627527233742,4011.6374630807536,8067.738891428237,111
2013-03-11,7018.044620669417,5162.7500649962685,9031.7593103818,111
2013-03-12,5830.032975894314,3913.7269000813203,7691.317060169433,111
2013-03-13,5754.903174322311,3936.5670791637212,7764.598869574456,111
2013-03-14,6074.128603173968,4264.183141965227,7945.3713700966055,111
2013-03-15,6752.237609411107,4836.404583405933,8609.291064014302,111
2013-03-16,6283.065679887321,4156.092703864786,8126.450058240084,111
2013-03-18,7298.016681847845,5354.52695978356,9079.987985529453,111
2013-03-19,6122.513450642611,4328.055654118883,8103.504492494662,111
2013-03-20,6057.567762545153,4174.424062388774,7994.531516154764,111
2013-03-21,6384.303260906186,4459.338564230589,8393.96387717051,111
2013-03-22,7066.926388812008,5144.262479130264,8984.482088611738,111
2013-03-23,6598.99237241958,4707.430491431715,8572.446768009431,111
2013-03-25,7605.756291299593,5591.927063834802,9415.634633614176,111
2013-03-26,6420.589365667274,4524.901893032475,8405.959100560625,111
2013-03-27,6342.245659429718,4508.1859042690085,8309.47657591647,111
2013-03-28,6651.947365819529,4645.350109365036,8457.785455180849,111
2013-03-30,6822.53673460493,4958.082870617559,8778.381579796978,111
2013-04-02,6558.6438864355305,4611.639015717619,8598.801037486315,111
2013-04-03,6448.762212951665,4565.028974626577,8475.138393196694,111
2013-04-04,6726.480669387364,4683.454551777311,8567.120206766429,111
2013-04-05,7356.90984957644,5431.619740707824,9305.411798545721,111
2013-04-06,6834.623478496241,4816.8071818834815,8810.578456641213,111
2013-04-08,7730.714538018118,5895.0785686614,9651.804608569115,111
2013-04-09,6491.614997912337,4538.504734463957,8404.516675304194,111
2013-04-10,6361.894659658632,4564.173517073986,8225.25198628993,111
2013-04-11,6623.9626667466755,4683.15834073407,8602.050032982961,111
2013-04-12,7243.344106485693,5324.959343641932,9116.367299521668,111
2013-04-13,6714.913287012535,4832.889854690367,8747.342743002278,111
2013-04-15,7613.991016200526,5698.387842070019,9479.693333109286,111
2013-04-16,6383.965646194195,4461.25996762488,8157.6782175276,111
2013-04-17,6268.1034186663,4301.2799451384835,8142.098780511603,111
2013-04-18,6548.439937957043,4618.625479771641,8346.895955381033,111
2013-04-19,7189.997894107478,5177.144467182845,9121.704290231311,111
2013-04-20,6687.031613453351,4751.227779395497,8706.508144647158,111
2013-04-22,7643.9276854328,5671.7805788708065,9650.579708860032,111
2013-04-23,6444.578944788729,4459.773596570876,8417.164298375617,111
2013-04-24,6359.3715357903175,4425.573315901294,8220.922224797901,111
2013-04-25,6669.41620479586,4764.648356312514,8605.409201109593,111
2013-04-26,7338.821928807884,5341.943154765825,9231.948381979757,111
2013-04-27,6860.966599211716,4814.591984750669,8733.800820868817,111
2013-04-29,7856.706690450798,5988.204248049511,9744.730521218553,111
2013-04-30,6669.746953149117,4798.8881147704915,8670.694296643695,111
2013-05-02,6902.867155032107,4932.52202648368,8869.829133878711,111
2013-05-03,7567.634147606307,5582.126887538353,9392.680905906998,111
2013-05-04,7079.200047876,5197.164895108407,9050.164786933135,111
2013-05-06,8036.702098862882,6074.893573572269,10040.946430349255,111
2013-05-07,6822.860736480559,5026.675148582339,8861.258412929024,111
2013-05-08,6713.374920715684,4791.207762312949,8655.884336653682,111
2013-05-10,7616.799526092042,5684.576031511896,9442.808081625937,111
2013-05-11,7088.799656287769,5244.1219072846525,9105.59311313503,111
2013-05-13,7965.75774281618,6098.733394746608,9843.032131372198,111
2013-05-14,6713.049841500861,4815.242557004335,8695.951593577765,111
2013-05-15,6567.023093903332,4657.535591058591,8542.518892061049,111
2013-05-16,6810.175383061507,4942.288774252376,8759.215219345182,111
2013-05-17,7408.190729205272,5523.7419704117665,9485.53320551713,111
2013-05-18,6856.168185111179,5010.684507293306,8661.824888331292,111
2013-05-21,6444.191061851518,4469.666423921547,8368.76254855804,111
2013-05-22,6299.160598961449,4376.751247472066,8277.283387705982,111
2013-05-23,6549.959059279821,4588.882515826764,8347.180037856055,111
2013-05-24,7162.060088852118,5172.619182315014,8990.253784001703,111
2013-05-25,6630.170117478194,4862.941272540428,8586.962529059781,111
2013-05-27,7532.564860234608,5539.831322100007,9569.255219185317,111
2013-05-28,6308.447971854892,4344.72956908027,8230.233633784554,111
2013-05-29,6200.604425934405,4235.953117169075,8170.887455753236,111
2013-05-31,7142.310203814766,5281.727573273108,9131.022377230125,111
2013-06-01,6649.762656235246,4871.896104889172,8550.25431048995,111
2013-06-03,7625.020032710932,5606.793016464493,9577.074723155709,111
2013-06-04,6432.276121223673,4359.800818234347,8320.917190484606,111
2013-06-05,6351.148529371028,4326.211651894687,8176.922197383029,111
2013-06-06,6662.234184097209,4687.006789997917,8484.49384251344,111
