ds,yhat,yhat_lower,yhat_upper,Store
2013-01-02,6874.648285210917,5371.900261671359,8322.036337043937,1113
2013-01-03,7241.607214526994,5709.624817058135,8632.882765661316,1113
2013-01-04,6640.939587604479,5188.8901729093195,8149.56245096682,1113
2013-01-05,5759.464397368768,4285.3635829263785,7313.566911069182,1113
2013-01-07,6904.261200846628,5424.0185601455405,8480.126224329455,1113
2013-01-08,6000.548351828164,4458.514758276014,7485.035432629842,1113
2013-01-09,5797.335164389654,4295.8865896709995,7292.816395875902,1113
2013-01-10,6256.08039392888,4804.271342323831,7642.645936817167,1113
2013-01-11,5754.644639567503,4265.767494842661,7161.708150939406,1113
2013-01-12,4978.007834966398,3597.7179637574486,6375.217154352091,1113
2013-01-14,6341.74722704997,4907.477304846123,7768.0192920977415,1113
2013-01-15,5548.378194619045,4179.267495215217,7096.968579391228,1113
2013-01-16,5453.668694107263,4005.5426112018,6934.967171664856,1113
2013-01-17,6017.37692039231,4536.0012747258215,7470.023030486399,1113
2013-01-18,5615.793039898122,4170.9872786553005,7202.646896871928,1113
2013-01-19,4932.483676275485,3400.8821252512207,6434.154080351606,1113
2013-01-21,6458.568983997452,5115.26752346017,7894.319768223616,1113
2013-01-22,5732.358921089435,4348.668862501752,7323.217925337116,1113
2013-01-23,5694.586433796418,4122.028273491882,7114.22601708179,1113
2013-01-24,6304.6278277375,4762.155779913915,7762.891951465899,1113
2013-01-25,5938.612340982731,4451.629523239611,7384.177749339724,1113
2013-01-26,5280.160175949819,3864.131307464409,6795.303107567209,1113
2013-01-28,6825.044187894095,5383.426951279049,8353.179174031891,1113
2013-01-29,6093.838546304702,4570.990722363648,7541.517719484872,1113
2013-01-30,6042.445754254689,4473.347919178881,7584.085379110374,1113
2013-01-31,6631.134554141137,5242.226043025233,8096.124176327679,1113
2013-02-01,6237.027754123807,4802.944167441513,7692.89864398495,1113
2013-02-02,5544.814297935639,4043.92494673209,7082.7814850480645,1113
2013-02-04,7009.659378905427,5665.526906174262,8489.413406026742,1113
2013-02-05,6234.455323737195,4931.698084467597,7783.777857361632,1113
2013-02-06,6137.904042135648,4661.385910531758,7640.374716930735,1113
