ds,yhat,yhat_lower,yhat_upper,Store
2013-01-02,5442.480215349598,3813.92775019828,7184.366008669843,284
2013-01-03,4982.9781591710425,3389.7739778223013,6714.169372251496,284
2013-01-04,5344.40705116718,3633.5315164764647,7139.980605831915,284
2013-01-05,5821.005074699544,4128.2027074380185,7490.037659063986,284
2013-01-07,6347.57303435158,4567.836453178882,8032.498284342127,284
2013-01-08,5463.097712468228,3839.9966001983403,7204.205039471133,284
2013-01-09,5104.419944214381,3375.5297243747104,6747.911218010784,284
2013-01-10,4652.170001826566,2909.7175779819804,6376.6276679954,284
2013-01-11,5022.9211294415145,3454.638470567429,6656.837949891822,284
2013-01-12,5510.739218039523,3845.999043150586,7088.865786530767,284
2013-01-14,6064.7600878991325,4531.501560168169,7726.594541073312,284
2013-01-15,5196.183613156239,3515.592622850612,6840.230885203307,284
2013-01-16,4854.634623446814,3234.657196325602,6617.87935066871,284
2013-01-17,4420.582142791399,2803.066906554965,6093.958995046487,284
2013-01-18,4810.439067664499,3093.4986409637713,6478.713014182683,284
2013-01-19,5318.110668130653,3677.7039417293327,7019.377127743686,284
2013-01-21,5913.430397052598,4345.247207468592,7678.209055646719,284
2013-01-22,5065.965773099715,3508.5339555046758,6739.814153892526,284
2013-01-23,4745.6075902338,3003.139350921464,6441.623581994853,284
2013-01-24,4332.646915667898,2611.5688808056498,6077.254895547699,284
2013-01-25,4743.313973270462,3118.437290003219,6328.622349469867,284
2013-01-26,5271.327304024997,3598.874969505595,6879.92208976451,284
2013-01-28,5905.166060293994,4381.409811278099,7631.069592867262,284
2013-01-29,5075.498980864772,3325.9566264706154,6822.176033665394,284
2013-01-30,4771.715728666393,3285.2355649765036,6469.984062093628,284
2013-01-31,4373.930118052665,2769.3340171801406,6046.331968637548,284
2013-02-01,4798.206504904533,3262.63504816253,6505.2509047473095,284
2013-02-02,5338.11293228071,3777.405215626117,7093.070197062216,284
2013-02-04,5990.0886621660065,4301.871607116752,7689.428236467575,284
2013-02-05,5166.478013659618,3466.907417731479,6709.651495170639,284
2013-02-06,4866.667560707913,3229.1271774497895,6550.1483185075795,284
2013-02-07,4470.756341722115,2672.5423092232445,6262.3584081415065,284
2013-02-08,4894.830569811121,3310.181779059626,6617.84670798206,284
2013-02-09,5432.518500344633,3618.540664351952,7103.792646183487,284
2013-02-11,6074.445020304214,4414.413801055721,7733.576010815051,284
2013-02-12,5243.318710837439,3534.4422860149375,6989.345368236161,284
2013-02-13,4934.603074653321,3264.7072708390597,6469.21100892883,284
2013-02-14,4528.642092424014,2868.676551640151,6188.074677022514,284
2013-02-15,4941.795283636675,3300.360609266157,6555.118208152336,284
2013-02-16,5467.987386658526,3877.5826757656723,7195.395624279074,284
